repo,pr_count,Mean_score_architecture_impact,StdDev_score_architecture_impact,Mean_score_code_quality,StdDev_score_code_quality,Mean_score_collaboration,StdDev_score_collaboration,Mean_score_maintainability,StdDev_score_maintainability,Mean_score_technical_leadership,StdDev_score_technical_leadership,Mean_score_user_impact,StdDev_score_user_impact
hashicorp_terraform,693,0.3582705243633089,0.2831445999417244,0.47926851207441495,0.2932972260450925,0.5217994339119046,0.2815672942725758,0.5251131264187469,0.3100844280002999,0.45068096301234817,0.2962359875906114,0.35760437308247556,0.2789970178436791
hashicorp_vault,2128,0.29421436339174745,0.22079298393825422,0.39950955891751955,0.30775706857966323,0.5679225839267019,0.2978347575164778,0.18737750319920257,0.21183739330399387,0.3104085290609312,0.24621177912884532,0.32758339774520023,0.29488548901968054
huggingface_transformers,3826,0.19777680798548125,0.1932863667259042,0.5172854173564344,0.33151054751970566,0.5381916363915147,0.30357549553954033,0.2724058766172876,0.2587748074166677,0.20686147397910318,0.22313937187714608,0.16646661678408461,0.1823079925380695
influxdata_influxdb,142,0.3750763800467403,0.27839317771597133,0.44970510782621487,0.2973824467129295,0.35132581875725105,0.28934209442589665,0.24229318504287317,0.2407902418073105,0.437861375235231,0.3010504115019306,0.3474895309945437,0.2642081839892167
istio_istio,2774,0.25217653492569014,0.20576291585111847,0.42777808854895594,0.2904016600298529,0.5533317767968972,0.3462031571704072,0.2734370052493187,0.25921818925244067,0.29344719235242084,0.2482518605356846,0.18789826061193193,0.20097795936160254
jenkinsci_jenkins,821,0.5235366149954089,0.3381589630441827,0.45938755783176416,0.3047602077368813,0.4252189544066968,0.33517511051170806,0.551391996232845,0.3907299100756694,0.5614600794119863,0.3381426478833478,0.4333766929229016,0.3365474547871177
kubernetes_kubernetes,9213,0.29181147440915167,0.25806753141549327,0.29004108778416454,0.25251347136746083,0.4642058744651603,0.3257936879322196,0.20559988797025752,0.18698626800227264,0.11728165291414419,0.14730449266444812,0.15656947003953123,0.16344185318691
letsencrypt_boulder,434,0.4855925851600236,0.27890703161432373,0.505666761654794,0.2845999783126099,0.3895011819375481,0.2777999382778485,0.2954926668357293,0.25578157130294044,0.32737880178259404,0.24492432655194668,0.4527191183667132,0.26400361099160113
llvm_llvm-project,14398,0.22598902795713866,0.19721955937997004,0.6017942044558832,0.286584613472925,0.44185505492187355,0.2507611202333416,0.39034547966715155,0.29822870514653455,0.15054091146792906,0.13981968351257776,0.5888521603405256,0.2789267354272146
mariadb_server,423,0.16054834227295628,0.18219858502331268,0.5626761218968858,0.35575404250362813,0.5035709261929453,0.3454681644960107,0.2189155149650066,0.269508989012269,0.1998692649002704,0.2263282726651271,0.20797234625020555,0.23727379666932422
microsoft_TypeScript,1210,0.2488791860424536,0.21034034937930945,0.48111554610250473,0.295859494216039,0.19493437304915778,0.22435098622818747,0.32611134320205026,0.2679707363671098,0.2681131451914071,0.2523405960535,0.32875039251290317,0.3033544064096439
microsoft_vscode,2087,0.3405644409751201,0.2566125150888734,0.3619729443542502,0.3040688089450118,0.5392067661115326,0.28293833042499933,0.23707059565458533,0.21995373071738777,0.26732733051052066,0.22368425997774155,0.5292385037828667,0.28969180595252253
moby_moby,1006,0.4805314961177895,0.30110558011480243,0.4930676417309554,0.31205252914788406,0.4115936409406157,0.31184091217860926,0.4067634631431556,0.2821151099161479,0.33009552686645555,0.27745353681395624,0.30374758488454184,0.25210656071880483
mongodb_mongo,19,0.360843946471026,0.26176480805208585,0.5549492885995853,0.3145858455970969,0.629611764348259,0.3265289087170189,0.23795203693015007,0.1808699813712688,0.30759901553392405,0.23848797361521487,0.28991934294371224,0.19262529926540148
neovim_neovim,1657,0.2597571817735647,0.22178670751097743,0.4799973957665494,0.26920726823551955,0.5288176008271965,0.3064631280880142,0.4163546510662953,0.3044463642457531,0.30586112566624174,0.24080371413300147,0.343594426806571,0.28089132879666573
nodejs_node,5312,0.3007501094252802,0.22512612908151478,0.5073158520505994,0.30300541456268876,0.29649001591345703,0.2271051811339804,0.49452556991370755,0.30953115353663113,0.2049564371794635,0.19531742298972926,0.3369696787498009,0.24222350089886008
openframeworks_openFrameworks,115,0.4564341976914717,0.3079825680503904,0.49598421753262695,0.32519922414295205,0.38359248293563725,0.2850728475527787,0.3163102757185697,0.2741454262669854,0.17915934580175769,0.17169514522261503,0.3053033251639294,0.27439412014253617
openjdk_jdk,9011,0.10754582293074474,0.0702317873257505,0.624550747522352,0.2960617545974657,0.5456400165916123,0.2856242385649976,0.10877784701100812,0.09422069483825943,0.17901883862276818,0.17194128952874024,0.07153705827009799,0.06725257353315164
openssl_openssl,2209,0.25960460955116027,0.2287246206488036,0.6967650639190899,0.2924793091314371,0.6111474660304895,0.30632481767550457,0.2681819498472568,0.21000841261694084,0.2909784544313696,0.21090836706850818,0.2760729126747311,0.23007906258267702
pallets_flask,22,0.25361245172098273,0.28208213380286173,0.3886449516496875,0.2923683806246611,0.4189746445044875,0.3407255493256158,0.22348319883034984,0.2569992576101795,0.14754874246533617,0.1522888761124095,0.3393896830014207,0.2966368451610801
pandas-dev_pandas,3013,0.2425610284393494,0.19704652685532587,0.7221072757823119,0.29718556297235926,0.27785162768631777,0.26290103245765595,0.2419264247619948,0.22212166949887438,0.426951285081038,0.29159128453757466,0.20111123772388723,0.19464476285252755
prettier_prettier,301,0.1891661172429489,0.18603203674926092,0.5574302279337795,0.31086669822575597,0.7077884404390952,0.31216633139546235,0.20943020714255067,0.22454926158725358,0.21059398561641818,0.18162962253017084,0.27484678524079115,0.24450809956213138
prometheus_prometheus,765,0.2925647088776957,0.2596896897101788,0.44664886403901904,0.3056328713828402,0.3341082214755219,0.26789802727316225,0.41149939318960593,0.29953896542582203,0.3505146417821593,0.2684700098907543,0.41543051860739594,0.29588967832595153
puppetlabs_puppet,132,0.29524266708529356,0.20620672741584772,0.5375936917367984,0.2999081787483619,0.4110845146616074,0.302292287855451,0.3060589058423471,0.2970646760811949,0.28790120677458064,0.21426097896389798,0.489319432216386,0.2575242013792753
pygame_pygame,173,0.4510574726592426,0.31393913063944023,0.3930992279094079,0.27922524104539165,0.29975148975160076,0.27511213447986155,0.22927662085020384,0.2468678094935726,0.29951268561033667,0.2760859861454202,0.2772867804382405,0.2390136688961029
python_cpython,7111,0.6705638367643143,0.314302816030905,0.22390839730281625,0.21250062823882188,0.23108045864607854,0.19555451759932527,0.3025060521840532,0.2306286044933172,0.27961846643207783,0.2207452948070094,0.5385519530828922,0.30482968784913284
pytorch_pytorch,24721,0.14782485240562324,0.14745297143603145,0.2030431404187475,0.20204526858581595,0.5015550783013809,0.33703075274510064,0.33782501753093125,0.2885332541038572,0.1178923700851279,0.13199022055842405,0.16398058900515275,0.1372385025295614
rails_rails,1454,0.4195679915653211,0.3028929874758328,0.5072462055425414,0.3069779015859526,0.26866558426862996,0.2540119023992965,0.34227940525880085,0.27767996790710725,0.27381501455139234,0.2343543725239003,0.4587879441813034,0.2894331120024393
reactos_reactos,1118,0.45378314410040593,0.30727631692869506,0.44339804570498825,0.30607969488303854,0.2036575907791343,0.24094115742249175,0.2892338982837404,0.2597890394360605,0.25818086233971327,0.259744864880514,0.32581921091031657,0.29630430338894376
redis_redis,552,0.3666266412347677,0.28577335541847443,0.28602510627525335,0.2656020443676126,0.3058947000502392,0.2531343666517362,0.20857247553320357,0.21842827908364834,0.3558346265724496,0.26093851457327066,0.3919745825004993,0.30172756035703135
rust-lang_rust,14734,0.33024363778692734,0.25758202435783917,0.6704592956407978,0.3266853756521843,0.5567097215429624,0.3399211128280271,0.1806847353038119,0.1778283419470561,0.2757348029340891,0.24758866666384435,0.3032020396663975,0.27561349213156394
saltstack_salt,661,0.24884246698328474,0.22101078873571944,0.4826651987888809,0.30896956698298694,0.28782260628155065,0.24331365915836833,0.3370966883024,0.28039357010258187,0.2960366823579467,0.27096444609835907,0.45526525360192543,0.32288592863917126
scikit-learn_scikit-learn,1687,0.3757833821470471,0.3025940641027922,0.6773017741790539,0.30320714559163414,0.29069706270549606,0.25908744450352594,0.24559743863640313,0.2658264092886695,0.31490486371206705,0.2815024186091269,0.2512002839123312,0.21440521893923847
sigstore_cosign,327,0.4606189693947998,0.2997919582732957,0.5399800211088647,0.32338755596704394,0.28032894311216444,0.2740176202405837,0.2650524636058404,0.24583630072037352,0.36918340958597917,0.2871962532378103,0.515925952509638,0.30599841853684273
solidjs_solid,43,0.2637597725315149,0.2208075490236797,0.4994105420313602,0.35661377477858097,0.27295559224521,0.3127819589956175,0.18372964631592809,0.23626190025151195,0.15917793451266923,0.18177041294290863,0.31751493598486097,0.23790111466014036
spring-projects_spring-framework,219,0.47350072280661154,0.322593728008188,0.36321216497621306,0.31446236304863967,0.47867624935817366,0.32572629975441736,0.35369960720476495,0.3158772346480804,0.25869127753994436,0.26154804814604893,0.25768150084282027,0.22658953294596945
sveltejs_svelte,861,0.2866122750057022,0.25388323457525275,0.30629634777241915,0.2693514716289435,0.3849111581740427,0.3162913377946807,0.512973002042907,0.3017835570249833,0.2714763265871091,0.25771490037906525,0.199895725312938,0.19204854934625668
systemd_systemd,2360,0.2873657003670567,0.26050171377949577,0.26396476707561334,0.237547329311894,0.43442044610165503,0.2669286736868228,0.4060565430451958,0.2654494989464763,0.4168463221290425,0.3108193113381189,0.49877169923876585,0.29939810706491243
tailwindlabs_tailwindcss,215,0.4097054782388515,0.2550286806044493,0.42929587785241213,0.28228090045559,0.4297300071477197,0.28115490954390204,0.2335153700242382,0.23853640537487397,0.3280429399897193,0.2751154609871421,0.43252712177589187,0.2827822439328513
tensorflow_tensorflow,880,0.3668003247669813,0.2758974670084737,0.3374992324325087,0.28428537990874003,0.48414530476280065,0.31127227504194693,0.3246784186493394,0.26835760706252054,0.29782879605825824,0.28122153744924083,0.42721925611232026,0.31264347397679937
torvalds_linux,20,0.3896181073738262,0.28256514053155923,0.2604612818919122,0.3018307538479954,0.7733272987883538,0.37257225268386346,0.4185457442887127,0.3136347154920808,0.21786405646707857,0.21076374115692142,0.26617604247294363,0.23940953119837585
vercel_next.js,4483,0.31450676112907333,0.2661409827388464,0.6622091747166811,0.3002896769727011,0.5988319286847658,0.27744814047576155,0.2499719822678333,0.22101767304729958,0.28163530346452387,0.21493185169545548,0.1699649322072275,0.2113590991231092
zephyrproject-rtos_zephyr,11245,0.37102692233636253,0.24762302773335465,0.4916900040444236,0.2922969252304996,0.4513486108283101,0.3244838826191077,0.2355610254522754,0.23575359253986528,0.24378530698645776,0.20373218583962435,0.4314139131807568,0.2682957077256371
